fraction	superkingdom	phylum	class	order	family	genus	species
6.615767380698759e-05	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__WQYP01	f__WQYP01	g__JAMDCX01	s__JAMDCX01 sp021808105
6.578600148222923e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__RAAP-2 sp021793515
6.392763985843745e-05	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__JAKAAZ01	s__JAKAAZ01 sp021793595
6.35559675336791e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__JAJZVS01	s__JAJZVS01 sp021815835
6.35559675336791e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__JAKAFK01	g__JAKAFK01	s__JAKAFK01 sp021817985
6.244095055940402e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas sp002079985
6.206927823464566e-05	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__Sediminibacterium sp017537025
6.206927823464566e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__13-2-20CM-66-19	s__13-2-20CM-66-19 sp021809525
6.206927823464566e-05	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__JAJYEA01	s__JAJYEA01 sp021832495
6.16976059098873e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__RAAP-2 sp021828545
6.095426126037059e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__RAAP-2 sp021802025
5.983924428609552e-05	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__CAIVDV01	s__CAIVDV01 sp021809235
5.983924428609552e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Acidiferrobacteraceae	g__Acidiferrobacter	s__Acidiferrobacter sp021841585
5.9095899636578804e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__RAAP-2 sp021849435
5.8352554987062085e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Magnetospirillaceae	g__JAJZUL01	s__JAJZUL01 sp021848545
5.723753801278701e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__13-2-20CM-66-19	s__13-2-20CM-66-19 sp021847105
5.686586568802866e-05	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__WQYP01	f__WQYP01	g__JAJZGD01	s__JAJZGD01 sp021818445
5.686586568802866e-05	d__Bacteria	p__SZUA-79	c__SZUA-79	o__Acidulodesulfobacterales	f__Acidulodesulfobacteraceae	g__Acidulodesulfobacterium	s__Acidulodesulfobacterium sp021831025
5.5750848713753586e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__JAJYVT01	s__JAJYVT01 sp021785095
5.537917638899523e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__JAJYVT01	s__JAJYVT01 sp021810205
5.537917638899523e-05	d__Archaea	p__Micrarchaeota	c__Micrarchaeia	o__Micrarchaeales	f__CABMGC01	g__JAKAVK01	s__JAKAVK01 sp021810375
5.5007504064236874e-05	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Isosphaerales	f__Isosphaeraceae	g__JAKBCQ01	s__JAKBCQ01 sp021807585
5.5007504064236874e-05	d__Archaea	p__Micrarchaeota	c__Micrarchaeia	o__Micrarchaeales	f__CABMGC01	g__JAJZIZ01	s__JAJZIZ01 sp021845465
5.5007504064236874e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Palsa-688	g__JAKAQB01	s__JAKAQB01 sp021846485
5.277747011568673e-05	d__Bacteria	p__SZUA-79	c__SZUA-79	o__Acidulodesulfobacterales	f__Acidulodesulfobacteraceae	g__Acidulodesulfobacterium_A	s__Acidulodesulfobacterium_A sp021788495
5.240579779092837e-05	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__JAKAUB01	s__JAKAUB01 sp021782675
5.2034125466170016e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__JABEUN01	s__JABEUN01 sp021823045
5.091910849189494e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__UBA9655	f__UBA9655	g__UBA9655	s__UBA9655 sp021809225
5.0175763842378224e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Bog-793	g__JAKATT01	s__JAKATT01 sp021791795
5.0175763842378224e-05	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__JAKAPL01	g__JAKAPL01	s__JAKAPL01 sp021807105
4.943241919286151e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__JAKAXS01	s__JAKAXS01 sp021816505
4.943241919286151e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__JABEUL01	g__JAJZNL01	s__JAJZNL01 sp021852345
4.906074686810316e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Acidibrevibacterium	s__Acidibrevibacterium sp021819535
4.906074686810316e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Bog-756	s__Bog-756 sp021826655
4.831740221858644e-05	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__JAKAAX01	s__JAKAAX01 sp021802125
4.7945729893828085e-05	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__CAIVDV01	s__CAIVDV01 sp021805265
4.7574057569069726e-05	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__Terracidiphilus	s__Terracidiphilus sp021785495
4.7574057569069726e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Stutzerimonas	s__Stutzerimonas stutzeri_AO
4.7202385244311366e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Thiomonas	s__Thiomonas sp013044035
4.7202385244311366e-05	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__JAKATE01	s__JAKATE01 sp021827405
4.645904059479465e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__JAJZXF01	g__JAJZXF01	s__JAJZXF01 sp021802485
4.60873682700363e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Thiomonas	s__Thiomonas sp000377645
4.571569594527794e-05	d__Bacteria	p__SZUA-79	c__SZUA-79	o__Acidulodesulfobacterales	f__Acidulodesulfobacteraceae	g__Acidulodesulfobacterium_A	s__Acidulodesulfobacterium_A sp021813525
4.422900664624451e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Acidocella	s__Acidocella sp013044125
4.422900664624451e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Palsa-461	s__Palsa-461 sp021791895
4.422900664624451e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas sp000955805
4.3857334321486155e-05	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Obscuribacterales	f__JAKAZS01	g__JAKAZS01	s__JAKAZS01 sp021785395
4.311398967196944e-05	d__Bacteria	p__Chloroflexota	c__Ktedonobacteria	o__Ktedonobacterales	f__JACDGC01	g__JAJYBV01	s__JAJYBV01 sp021812265
4.311398967196944e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Magnetospirillaceae	g__JAKAFA01	s__JAKAFA01 sp021818185
4.274231734721108e-05	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__Terracidiphilus	s__Terracidiphilus sp021811745
4.237064502245272e-05	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__WQYP01	f__WQYP01	g__JABEVB01	s__JABEVB01 sp021780285
4.237064502245272e-05	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__Baltobacterales	f__Baltobacteraceae	g__JAJYFL01	s__JAJYFL01 sp021781595
4.237064502245272e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Acidiferrobacteraceae	g__Acidiferrobacter	s__Acidiferrobacter sp021819125
4.199897269769437e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__JAJYTG01	s__JAJYTG01 sp021793195
4.199897269769437e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__BOG-931	s__BOG-931 sp021811945
4.199897269769437e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__JAJZHK01	s__JAJZHK01 sp021833365
4.162730037293601e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Palsa-688	g__JAKAXG01	s__JAKAXG01 sp021827225
4.051228339866094e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__RAAP-2 sp002255565
3.9768938749144225e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__RAAP-2 sp021777285
3.9768938749144225e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Thiobacillaceae	g__Thiobacillus	s__Thiobacillus sp021802595
3.9768938749144225e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__JAFKFJ01	s__JAFKFJ01 sp021818505
3.9768938749144225e-05	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Cuniculiplasma	s__Cuniculiplasma sp021833045
3.9397266424385865e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__UBA8190	g__JAKAQW01	s__JAKAQW01 sp021819525
3.902559409962751e-05	d__Bacteria	p__Bacillota	c__Bacilli	o__Alicyclobacillales	f__Acidibacillaceae	g__JAJZCL01	s__JAJZCL01 sp021846165
3.902559409962751e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Acidiferrobacteraceae	g__Acidiferrobacter	s__Acidiferrobacter sp003184265
3.865392177486915e-05	d__Bacteria	p__SZUA-79	c__SZUA-79	o__Acidulodesulfobacterales	f__Acidulodesulfobacteraceae	g__Acidulodesulfobacterium_A	s__Acidulodesulfobacterium_A sp021798875
3.865392177486915e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Palsa-688	g__JAJZMF01	s__JAJZMF01 sp021821705
3.828224945011079e-05	d__Bacteria	p__Dormibacterota	c__Dormibacteria	o__UBA8260	f__Bog-877	g__JAJYXT01	s__JAJYXT01 sp021801645
3.791057712535244e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__JAJZVS01	s__JAJZVS01 sp019352115
3.791057712535244e-05	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__UBA5172	s__UBA5172 sp021800195
3.679556015107737e-05	d__Bacteria	p__SZUA-79	c__SZUA-79	o__Acidulodesulfobacterales	f__Acidulodesulfobacteraceae	g__Acidulodesulfobacterium_A	s__Acidulodesulfobacterium_A sp021828445
3.642388782631901e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__RAAP-2 sp021818025
